right,left,disparity,proprioception
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright1988_1569266939.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft1988_1569266939.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity1988_1569266939.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro1988_1569266939.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright1660_1569266730.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft1660_1569266730.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity1660_1569266730.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro1660_1569266730.yaml
/home/ali/Pytorchwork/20190925/images_right_fgenv/20190924_imageright2846_1569319290.jpg,/home/ali/Pytorchwork/20190925/images_left_fgenv/20190924_imageleft2846_1569319290.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fgenv/20190924_disparity2846_1569319290.yaml,/home/ali/Pytorchwork/20190925/pro_fgenv/20190924_pro2846_1569319290.yaml
/home/ali/Pytorchwork/20190925/images_right_fgenv/20190924_imageright2349_1569318967.jpg,/home/ali/Pytorchwork/20190925/images_left_fgenv/20190924_imageleft2349_1569318967.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fgenv/20190924_disparity2349_1569318967.yaml,/home/ali/Pytorchwork/20190925/pro_fgenv/20190924_pro2349_1569318967.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright189_1569265757.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft189_1569265757.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity189_1569265757.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro189_1569265757.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright4111_1569268564.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft4111_1569268564.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity4111_1569268564.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro4111_1569268564.yaml
/home/ali/Pytorchwork/20190925/images_right_fgenv/20190924_imageright3516_1569320035.jpg,/home/ali/Pytorchwork/20190925/images_left_fgenv/20190924_imageleft3516_1569320035.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fgenv/20190924_disparity3516_1569320035.yaml,/home/ali/Pytorchwork/20190925/pro_fgenv/20190924_pro3516_1569320035.yaml
/home/ali/Pytorchwork/20190925/images_right_fgenv/20190924_imageright3125_1569319563.jpg,/home/ali/Pytorchwork/20190925/images_left_fgenv/20190924_imageleft3125_1569319563.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fgenv/20190924_disparity3125_1569319563.yaml,/home/ali/Pytorchwork/20190925/pro_fgenv/20190924_pro3125_1569319563.yaml
/home/ali/Pytorchwork/20190925/images_right_fgenv/20190924_imageright2249_1569318946.jpg,/home/ali/Pytorchwork/20190925/images_left_fgenv/20190924_imageleft2249_1569318946.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fgenv/20190924_disparity2249_1569318946.yaml,/home/ali/Pytorchwork/20190925/pro_fgenv/20190924_pro2249_1569318946.yaml
/home/ali/Pytorchwork/20190925/images_right_ftenv/20190924_imageright3573_1569335132.jpg,/home/ali/Pytorchwork/20190925/images_left_ftenv/20190924_imageleft3573_1569335132.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftenv/20190924_disparity3573_1569335132.yaml,/home/ali/Pytorchwork/20190925/pro_ftenv/20190924_pro3573_1569335132.yaml
/home/ali/Pytorchwork/20190925/images_right_ftenv/20190924_imageright1745_1569333471.jpg,/home/ali/Pytorchwork/20190925/images_left_ftenv/20190924_imageleft1745_1569333471.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftenv/20190924_disparity1745_1569333471.yaml,/home/ali/Pytorchwork/20190925/pro_ftenv/20190924_pro1745_1569333471.yaml
/home/ali/Pytorchwork/20190925/images_right_fgenv/20190924_imageright161_1569317415.jpg,/home/ali/Pytorchwork/20190925/images_left_fgenv/20190924_imageleft161_1569317415.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fgenv/20190924_disparity161_1569317415.yaml,/home/ali/Pytorchwork/20190925/pro_fgenv/20190924_pro161_1569317415.yaml
