right,left,disparity,proprioception
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright2221_1569259149.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft2221_1569259149.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity2221_1569259149.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro2221_1569259149.yaml
/home/ali/Pytorchwork/20190925/images_right_fgme/20190924_imageright7_1569313957.jpg,/home/ali/Pytorchwork/20190925/images_left_fgme/20190924_imageleft7_1569313957.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fgme/20190924_disparity7_1569313957.yaml,/home/ali/Pytorchwork/20190925/pro_fgme/20190924_pro7_1569313957.yaml
/home/ali/Pytorchwork/20190925/images_right_fgme/20190924_imageright832_1569314360.jpg,/home/ali/Pytorchwork/20190925/images_left_fgme/20190924_imageleft832_1569314360.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fgme/20190924_disparity832_1569314360.yaml,/home/ali/Pytorchwork/20190925/pro_fgme/20190924_pro832_1569314360.yaml
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright997_1569269854.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft997_1569269854.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity997_1569269854.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro997_1569269854.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright337_1569258238.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft337_1569258238.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity337_1569258238.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro337_1569258238.yaml
/home/ali/Pytorchwork/20190925/images_right_fgme/20190924_imageright2872_1569315556.jpg,/home/ali/Pytorchwork/20190925/images_left_fgme/20190924_imageleft2872_1569315556.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fgme/20190924_disparity2872_1569315556.yaml,/home/ali/Pytorchwork/20190925/pro_fgme/20190924_pro2872_1569315556.yaml
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright3179_1569271050.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft3179_1569271050.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity3179_1569271050.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro3179_1569271050.yaml
/home/ali/Pytorchwork/20190925/images_right_fgme/20190924_imageright4197_1569316290.jpg,/home/ali/Pytorchwork/20190925/images_left_fgme/20190924_imageleft4197_1569316290.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fgme/20190924_disparity4197_1569316290.yaml,/home/ali/Pytorchwork/20190925/pro_fgme/20190924_pro4197_1569316290.yaml
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright3466_1569271206.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft3466_1569271206.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity3466_1569271206.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro3466_1569271206.yaml
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright3143_1569271028.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft3143_1569271028.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity3143_1569271028.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro3143_1569271028.yaml
