right,left,disparity,proprioception
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3881_1569338148.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft3881_1569338148.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity3881_1569338148.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro3881_1569338148.yaml
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright531_1569269659.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft531_1569269659.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity531_1569269659.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro531_1569269659.yaml
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright1613_1569270220.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft1613_1569270220.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity1613_1569270220.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro1613_1569270220.yaml
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright1787_1569270332.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft1787_1569270332.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity1787_1569270332.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro1787_1569270332.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright675_1569336499.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft675_1569336499.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity675_1569336499.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro675_1569336499.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright3991_1569260275.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft3991_1569260275.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity3991_1569260275.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro3991_1569260275.yaml
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright2540_1569270737.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft2540_1569270737.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity2540_1569270737.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro2540_1569270737.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright2868_1569259481.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft2868_1569259481.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity2868_1569259481.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro2868_1569259481.yaml
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright269_1569269511.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft269_1569269511.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity269_1569269511.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro269_1569269511.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3592_1569338044.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft3592_1569338044.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity3592_1569338044.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro3592_1569338044.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright559_1569258313.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft559_1569258313.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity559_1569258313.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro559_1569258313.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3327_1569337911.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft3327_1569337911.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity3327_1569337911.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro3327_1569337911.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright192_1569258132.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft192_1569258132.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity192_1569258132.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro192_1569258132.yaml
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright4030_1569271600.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft4030_1569271600.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity4030_1569271600.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro4030_1569271600.yaml
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright1830_1569270411.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft1830_1569270411.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity1830_1569270411.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro1830_1569270411.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright4023_1569338236.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft4023_1569338236.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity4023_1569338236.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro4023_1569338236.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright1140_1569336718.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft1140_1569336718.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity1140_1569336718.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro1140_1569336718.yaml
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright3063_1569271013.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft3063_1569271013.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity3063_1569271013.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro3063_1569271013.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright770_1569258395.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft770_1569258395.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity770_1569258395.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro770_1569258395.yaml
