right,left,disparity,proprioception
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright2027_1569266967.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft2027_1569266967.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity2027_1569266967.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro2027_1569266967.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright1637_1569266726.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft1637_1569266726.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity1637_1569266726.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro1637_1569266726.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright3626_1569268111.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft3626_1569268111.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity3626_1569268111.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro3626_1569268111.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright3290_1569267909.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft3290_1569267909.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity3290_1569267909.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro3290_1569267909.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright330_1569265815.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft330_1569265815.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity330_1569265815.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro330_1569265815.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright3103_1569267811.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft3103_1569267811.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity3103_1569267811.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro3103_1569267811.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright3514_1569268044.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft3514_1569268044.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity3514_1569268044.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro3514_1569268044.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright398_1569265876.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft398_1569265876.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity398_1569265876.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro398_1569265876.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright1943_1569266916.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft1943_1569266916.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity1943_1569266916.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro1943_1569266916.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright3623_1569268110.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft3623_1569268110.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity3623_1569268110.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro3623_1569268110.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright2834_1569267571.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft2834_1569267571.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity2834_1569267571.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro2834_1569267571.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright121_1569265670.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft121_1569265670.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity121_1569265670.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro121_1569265670.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright3266_1569267905.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft3266_1569267905.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity3266_1569267905.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro3266_1569267905.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright3303_1569267912.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft3303_1569267912.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity3303_1569267912.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro3303_1569267912.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright2429_1569267269.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft2429_1569267269.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity2429_1569267269.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro2429_1569267269.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright1747_1569266768.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft1747_1569266768.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity1747_1569266768.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro1747_1569266768.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright619_1569266104.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft619_1569266104.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity619_1569266104.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro619_1569266104.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright908_1569266326.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft908_1569266326.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity908_1569266326.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro908_1569266326.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright353_1569265838.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft353_1569265838.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity353_1569265838.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro353_1569265838.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright3523_1569268046.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft3523_1569268046.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity3523_1569268046.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro3523_1569268046.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright1912_1569266907.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft1912_1569266907.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity1912_1569266907.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro1912_1569266907.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright2112_1569267019.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft2112_1569267019.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity2112_1569267019.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro2112_1569267019.yaml
/home/ali/Pytorchwork/20190925/images_right_fcenv/20190923_imageright990_1569266355.jpg,/home/ali/Pytorchwork/20190925/images_left_fcenv/20190923_imageleft990_1569266355.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcenv/20190923_disparity990_1569266355.yaml,/home/ali/Pytorchwork/20190925/pro_fcenv/20190923_pro990_1569266355.yaml
