right,left,disparity,proprioception
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright202_1569269465.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft202_1569269465.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity202_1569269465.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro202_1569269465.yaml
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright1639_1569270248.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft1639_1569270248.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity1639_1569270248.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro1639_1569270248.yaml
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright3631_1569271330.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft3631_1569271330.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity3631_1569271330.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro3631_1569271330.yaml
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright3296_1569271108.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft3296_1569271108.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity3296_1569271108.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro3296_1569271108.yaml
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright3315_1569271112.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft3315_1569271112.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity3315_1569271112.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro3315_1569271112.yaml
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright310_1569269524.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft310_1569269524.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity310_1569269524.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro310_1569269524.yaml
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright351_1569269553.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft351_1569269553.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity351_1569269553.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro351_1569269553.yaml
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright3996_1569271568.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft3996_1569271568.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity3996_1569271568.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro3996_1569271568.yaml
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright1946_1569270488.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft1946_1569270488.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity1946_1569270488.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro1946_1569270488.yaml
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright3629_1569271330.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft3629_1569271330.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity3629_1569271330.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro3629_1569271330.yaml
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright283_1569269514.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft283_1569269514.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity283_1569269514.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro283_1569269514.yaml
/home/ali/Pytorchwork/20190925/images_right_fcme/20190923_imageright121_1569269397.jpg,/home/ali/Pytorchwork/20190925/images_left_fcme/20190923_imageleft121_1569269397.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fcme/20190923_disparity121_1569269397.yaml,/home/ali/Pytorchwork/20190925/pro_fcme/20190923_pro121_1569269397.yaml
