right,left,disparity,proprioception
/home/ali/Pytorchwork/20190925/images_right_fgme/20190924_imageright2943_1569315595.jpg,/home/ali/Pytorchwork/20190925/images_left_fgenv/20190924_imageleft293_1569317462.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fgenv/20190924_disparity293_1569317462.yaml,/home/ali/Pytorchwork/20190925/pro_fgenv/20190924_pro293_1569317462.yaml
/home/ali/Pytorchwork/20190925/images_right_fgme/20190924_imageright1977_1569314973.jpg,/home/ali/Pytorchwork/20190925/images_left_fgenv/20190924_imageleft1970_1569318702.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fgenv/20190924_disparity1970_1569318702.yaml,/home/ali/Pytorchwork/20190925/pro_fgenv/20190924_pro1970_1569318702.yaml
/home/ali/Pytorchwork/20190925/images_right_fgme/20190924_imageright3840_1569316001.jpg,/home/ali/Pytorchwork/20190925/images_left_fgenv/20190924_imageleft3836_1569320147.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fgenv/20190924_disparity3836_1569320147.yaml,/home/ali/Pytorchwork/20190925/pro_fgenv/20190924_pro3836_1569320147.yaml
/home/ali/Pytorchwork/20190925/images_right_fgme/20190924_imageright2007_1569315033.jpg,/home/ali/Pytorchwork/20190925/images_left_fgenv/20190924_imageleft2000_1569318794.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fgenv/20190924_disparity2000_1569318794.yaml,/home/ali/Pytorchwork/20190925/pro_fgenv/20190924_pro2000_1569318794.yaml
/home/ali/Pytorchwork/20190925/images_right_fgme/20190924_imageright2360_1569315281.jpg,/home/ali/Pytorchwork/20190925/images_left_fgenv/20190924_imageleft2355_1569318978.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fgenv/20190924_disparity2355_1569318978.yaml,/home/ali/Pytorchwork/20190925/pro_fgenv/20190924_pro2355_1569318978.yaml
/home/ali/Pytorchwork/20190925/images_right_fgme/20190924_imageright2673_1569315459.jpg,/home/ali/Pytorchwork/20190925/images_left_fgenv/20190924_imageleft2669_1569319217.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fgenv/20190924_disparity2669_1569319217.yaml,/home/ali/Pytorchwork/20190925/pro_fgenv/20190924_pro2669_1569319217.yaml
/home/ali/Pytorchwork/20190925/images_right_fgme/20190924_imageright3483_1569315824.jpg,/home/ali/Pytorchwork/20190925/images_left_fgenv/20190924_imageleft347_1569317595.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fgenv/20190924_disparity347_1569317595.yaml,/home/ali/Pytorchwork/20190925/pro_fgenv/20190924_pro347_1569317595.yaml
/home/ali/Pytorchwork/20190925/images_right_fgme/20190924_imageright522_1569314198.jpg,/home/ali/Pytorchwork/20190925/images_left_fgenv/20190924_imageleft809_1569317854.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fgenv/20190924_disparity809_1569317854.yaml,/home/ali/Pytorchwork/20190925/pro_fgenv/20190924_pro809_1569317854.yaml
/home/ali/Pytorchwork/20190925/images_right_fgme/20190924_imageright238_1569314041.jpg,/home/ali/Pytorchwork/20190925/images_left_fgenv/20190924_imageleft2384_1569318983.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fgenv/20190924_disparity2384_1569318983.yaml,/home/ali/Pytorchwork/20190925/pro_fgenv/20190924_pro2384_1569318983.yaml
/home/ali/Pytorchwork/20190925/images_right_fgme/20190924_imageright1841_1569314911.jpg,/home/ali/Pytorchwork/20190925/images_left_fgenv/20190924_imageleft1834_1569318621.jpg,/home/ali/Pytorchwork/20190925/images_disparity_fgenv/20190924_disparity1834_1569318621.yaml,/home/ali/Pytorchwork/20190925/pro_fgenv/20190924_pro1834_1569318621.yaml
