right,left,disparity,proprioception
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3339_1569337914.jpg,/home/ali/Pytorchwork/20190925/images_left_ftenv/20190924_imageleft3334_1569334863.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftenv/20190924_disparity3334_1569334863.yaml,/home/ali/Pytorchwork/20190925/pro_ftenv/20190924_pro3334_1569334863.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3687_1569338070.jpg,/home/ali/Pytorchwork/20190925/images_left_ftenv/20190924_imageleft367_1569332358.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftenv/20190924_disparity367_1569332358.yaml,/home/ali/Pytorchwork/20190925/pro_ftenv/20190924_pro367_1569332358.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3268_1569337893.jpg,/home/ali/Pytorchwork/20190925/images_left_ftenv/20190924_imageleft3264_1569334803.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftenv/20190924_disparity3264_1569334803.yaml,/home/ali/Pytorchwork/20190925/pro_ftenv/20190924_pro3264_1569334803.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright460_1569336409.jpg,/home/ali/Pytorchwork/20190925/images_left_ftenv/20190924_imageleft778_1569332656.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftenv/20190924_disparity778_1569332656.yaml,/home/ali/Pytorchwork/20190925/pro_ftenv/20190924_pro778_1569332656.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright1565_1569336949.jpg,/home/ali/Pytorchwork/20190925/images_left_ftenv/20190924_imageleft1566_1569333343.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftenv/20190924_disparity1566_1569333343.yaml,/home/ali/Pytorchwork/20190925/pro_ftenv/20190924_pro1566_1569333343.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright2998_1569337718.jpg,/home/ali/Pytorchwork/20190925/images_left_ftenv/20190924_imageleft2992_1569334602.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftenv/20190924_disparity2992_1569334602.yaml,/home/ali/Pytorchwork/20190925/pro_ftenv/20190924_pro2992_1569334602.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright531_1569336448.jpg,/home/ali/Pytorchwork/20190925/images_left_ftenv/20190924_imageleft849_1569332743.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftenv/20190924_disparity849_1569332743.yaml,/home/ali/Pytorchwork/20190925/pro_ftenv/20190924_pro849_1569332743.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3815_1569338112.jpg,/home/ali/Pytorchwork/20190925/images_left_ftenv/20190924_imageleft3808_1569335212.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftenv/20190924_disparity3808_1569335212.yaml,/home/ali/Pytorchwork/20190925/pro_ftenv/20190924_pro3808_1569335212.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright2895_1569337669.jpg,/home/ali/Pytorchwork/20190925/images_left_ftenv/20190924_imageleft2891_1569334535.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftenv/20190924_disparity2891_1569334535.yaml,/home/ali/Pytorchwork/20190925/pro_ftenv/20190924_pro2891_1569334535.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3589_1569338043.jpg,/home/ali/Pytorchwork/20190925/images_left_ftenv/20190924_imageleft3581_1569335134.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftenv/20190924_disparity3581_1569335134.yaml,/home/ali/Pytorchwork/20190925/pro_ftenv/20190924_pro3581_1569335134.yaml
