right,left,disparity,proprioception
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright1180_1569336756.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft1180_1569336756.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity1180_1569336756.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro1180_1569336756.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright1367_1569336857.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft1367_1569336857.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity1367_1569336857.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro1367_1569336857.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3950_1569338198.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft3950_1569338198.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity3950_1569338198.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro3950_1569338198.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright2792_1569337603.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft2792_1569337603.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity2792_1569337603.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro2792_1569337603.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3903_1569338175.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft3903_1569338175.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity3903_1569338175.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro3903_1569338175.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright1610_1569336971.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft1610_1569336971.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity1610_1569336971.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro1610_1569336971.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright1889_1569337141.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft1889_1569337141.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity1889_1569337141.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro1889_1569337141.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright1258_1569336795.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft1258_1569336795.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity1258_1569336795.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro1258_1569336795.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright312_1569336288.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft312_1569336288.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity312_1569336288.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro312_1569336288.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3336_1569337913.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft3336_1569337913.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity3336_1569337913.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro3336_1569337913.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3189_1569337839.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft3189_1569337839.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity3189_1569337839.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro3189_1569337839.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright2082_1569337237.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft2082_1569337237.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity2082_1569337237.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro2082_1569337237.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3968_1569338221.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft3968_1569338221.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity3968_1569338221.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro3968_1569338221.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright4119_1569338255.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft4119_1569338255.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity4119_1569338255.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro4119_1569338255.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright2821_1569337629.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft2821_1569337629.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity2821_1569337629.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro2821_1569337629.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright2305_1569337354.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft2305_1569337354.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity2305_1569337354.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro2305_1569337354.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright2613_1569337525.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft2613_1569337525.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity2613_1569337525.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro2613_1569337525.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright4058_1569338243.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft4058_1569338243.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity4058_1569338243.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro4058_1569338243.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3806_1569338111.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft3806_1569338111.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity3806_1569338111.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro3806_1569338111.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright596_1569336480.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft596_1569336480.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity596_1569336480.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro596_1569336480.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3660_1569338065.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft3660_1569338065.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity3660_1569338065.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro3660_1569338065.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright2206_1569337316.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft2206_1569337316.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity2206_1569337316.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro2206_1569337316.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3783_1569338094.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft3783_1569338094.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity3783_1569338094.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro3783_1569338094.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3293_1569337905.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft3293_1569337905.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity3293_1569337905.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro3293_1569337905.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright368_1569336308.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft368_1569336308.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity368_1569336308.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro368_1569336308.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright532_1569336448.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft532_1569336448.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity532_1569336448.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro532_1569336448.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright4164_1569338271.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft4164_1569338271.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity4164_1569338271.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro4164_1569338271.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright318_1569336289.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft318_1569336289.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity318_1569336289.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro318_1569336289.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright666_1569336497.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft666_1569336497.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity666_1569336497.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro666_1569336497.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright571_1569336475.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft571_1569336475.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity571_1569336475.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro571_1569336475.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright1952_1569337199.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft1952_1569337199.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity1952_1569337199.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro1952_1569337199.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3044_1569337772.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft3044_1569337772.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity3044_1569337772.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro3044_1569337772.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright314_1569336289.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft314_1569336289.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity314_1569336289.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro314_1569336289.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright163_1569336186.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft163_1569336186.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity163_1569336186.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro163_1569336186.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright4381_1569338359.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft4381_1569338359.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity4381_1569338359.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro4381_1569338359.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3576_1569338028.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft3576_1569338028.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity3576_1569338028.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro3576_1569338028.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright541_1569336470.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft541_1569336470.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity541_1569336470.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro541_1569336470.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright202_1569336207.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft202_1569336207.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity202_1569336207.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro202_1569336207.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright1201_1569336763.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft1201_1569336763.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity1201_1569336763.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro1201_1569336763.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright2141_1569337262.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft2141_1569337262.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity2141_1569337262.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro2141_1569337262.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright1747_1569337075.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft1747_1569337075.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity1747_1569337075.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro1747_1569337075.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright296_1569336285.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft296_1569336285.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity296_1569336285.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro296_1569336285.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright1525_1569336942.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft1525_1569336942.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity1525_1569336942.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro1525_1569336942.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright1133_1569336708.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft1133_1569336708.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity1133_1569336708.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro1133_1569336708.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright380_1569336310.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft380_1569336310.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity380_1569336310.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro380_1569336310.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright36_1569336153.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft36_1569336153.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity36_1569336153.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro36_1569336153.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3334_1569337913.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft3334_1569337913.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity3334_1569337913.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro3334_1569337913.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright111_1569336171.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft111_1569336171.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity111_1569336171.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro111_1569336171.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3742_1569338086.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft3742_1569338086.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity3742_1569338086.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro3742_1569338086.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3165_1569337813.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft3165_1569337813.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity3165_1569337813.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro3165_1569337813.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright1835_1569337122.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft1835_1569337122.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity1835_1569337122.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro1835_1569337122.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright2118_1569337258.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft2118_1569337258.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity2118_1569337258.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro2118_1569337258.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright665_1569336497.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft665_1569336497.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity665_1569336497.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro665_1569336497.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3993_1569338231.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft3993_1569338231.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity3993_1569338231.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro3993_1569338231.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright4538_1569338440.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft4538_1569338440.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity4538_1569338440.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro4538_1569338440.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright1274_1569336798.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft1274_1569336798.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity1274_1569336798.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro1274_1569336798.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright2307_1569337359.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft2307_1569337359.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity2307_1569337359.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro2307_1569337359.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright4081_1569338247.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft4081_1569338247.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity4081_1569338247.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro4081_1569338247.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3140_1569337809.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft3140_1569337809.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity3140_1569337809.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro3140_1569337809.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3747_1569338087.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft3747_1569338087.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity3747_1569338087.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro3747_1569338087.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright2623_1569337527.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft2623_1569337527.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity2623_1569337527.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro2623_1569337527.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright2760_1569337570.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft2760_1569337570.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity2760_1569337570.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro2760_1569337570.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright4022_1569338236.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft4022_1569338236.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity4022_1569338236.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro4022_1569338236.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright1202_1569336763.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft1202_1569336763.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity1202_1569336763.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro1202_1569336763.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright2507_1569337506.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft2507_1569337506.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity2507_1569337506.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro2507_1569337506.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright2117_1569337258.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft2117_1569337258.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity2117_1569337258.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro2117_1569337258.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright1568_1569336955.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft1568_1569336955.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity1568_1569336955.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro1568_1569336955.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright2635_1569337529.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft2635_1569337529.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity2635_1569337529.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro2635_1569337529.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright2297_1569337352.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft2297_1569337352.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity2297_1569337352.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro2297_1569337352.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright3025_1569337723.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft3025_1569337723.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity3025_1569337723.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro3025_1569337723.yaml
/home/ali/Pytorchwork/20190925/images_right_ftme/20190924_imageright4327_1569338349.jpg,/home/ali/Pytorchwork/20190925/images_left_ftme/20190924_imageleft4327_1569338349.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ftme/20190924_disparity4327_1569338349.yaml,/home/ali/Pytorchwork/20190925/pro_ftme/20190924_pro4327_1569338349.yaml
