right,left,disparity,proprioception
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright2497_1569259302.jpg,/home/ali/Pytorchwork/20190925/images_left_ilenv/20190923_imageleft2498_1569263737.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilenv/20190923_disparity2498_1569263737.yaml,/home/ali/Pytorchwork/20190925/pro_ilenv/20190923_pro2498_1569263737.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright2896_1569259489.jpg,/home/ali/Pytorchwork/20190925/images_left_ilenv/20190923_imageleft2895_1569264001.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilenv/20190923_disparity2895_1569264001.yaml,/home/ali/Pytorchwork/20190925/pro_ilenv/20190923_pro2895_1569264001.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright1010_1569258550.jpg,/home/ali/Pytorchwork/20190925/images_left_ilenv/20190923_imageleft1010_1569262569.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilenv/20190923_disparity1010_1569262569.yaml,/home/ali/Pytorchwork/20190925/pro_ilenv/20190923_pro1010_1569262569.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright394_1569258248.jpg,/home/ali/Pytorchwork/20190925/images_left_ilenv/20190923_imageleft394_1569262179.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilenv/20190923_disparity394_1569262179.yaml,/home/ali/Pytorchwork/20190925/pro_ilenv/20190923_pro394_1569262179.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright1271_1569258673.jpg,/home/ali/Pytorchwork/20190925/images_left_ilenv/20190923_imageleft1270_1569262836.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilenv/20190923_disparity1270_1569262836.yaml,/home/ali/Pytorchwork/20190925/pro_ilenv/20190923_pro1270_1569262836.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright3268_1569259737.jpg,/home/ali/Pytorchwork/20190925/images_left_ilenv/20190923_imageleft3267_1569264267.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilenv/20190923_disparity3267_1569264267.yaml,/home/ali/Pytorchwork/20190925/pro_ilenv/20190923_pro3267_1569264267.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright2695_1569259375.jpg,/home/ali/Pytorchwork/20190925/images_left_ilenv/20190923_imageleft2695_1569263927.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilenv/20190923_disparity2695_1569263927.yaml,/home/ali/Pytorchwork/20190925/pro_ilenv/20190923_pro2695_1569263927.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright2908_1569259491.jpg,/home/ali/Pytorchwork/20190925/images_left_ilenv/20190923_imageleft2907_1569264004.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilenv/20190923_disparity2907_1569264004.yaml,/home/ali/Pytorchwork/20190925/pro_ilenv/20190923_pro2907_1569264004.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright3336_1569259785.jpg,/home/ali/Pytorchwork/20190925/images_left_ilenv/20190923_imageleft3336_1569264310.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilenv/20190923_disparity3336_1569264310.yaml,/home/ali/Pytorchwork/20190925/pro_ilenv/20190923_pro3336_1569264310.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright1479_1569258744.jpg,/home/ali/Pytorchwork/20190925/images_left_ilenv/20190923_imageleft1479_1569263084.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilenv/20190923_disparity1479_1569263084.yaml,/home/ali/Pytorchwork/20190925/pro_ilenv/20190923_pro1479_1569263084.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright2706_1569259376.jpg,/home/ali/Pytorchwork/20190925/images_left_ilenv/20190923_imageleft2706_1569263933.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilenv/20190923_disparity2706_1569263933.yaml,/home/ali/Pytorchwork/20190925/pro_ilenv/20190923_pro2706_1569263933.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright468_1569258269.jpg,/home/ali/Pytorchwork/20190925/images_left_ilenv/20190923_imageleft4169_1569264894.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilenv/20190923_disparity4169_1569264894.yaml,/home/ali/Pytorchwork/20190925/pro_ilenv/20190923_pro4169_1569264894.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright69_1569258100.jpg,/home/ali/Pytorchwork/20190925/images_left_ilenv/20190923_imageleft644_1569262257.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilenv/20190923_disparity644_1569262257.yaml,/home/ali/Pytorchwork/20190925/pro_ilenv/20190923_pro644_1569262257.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright695_1569258376.jpg,/home/ali/Pytorchwork/20190925/images_left_ilenv/20190923_imageleft63_1569261890.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilenv/20190923_disparity63_1569261890.yaml,/home/ali/Pytorchwork/20190925/pro_ilenv/20190923_pro63_1569261890.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright1255_1569258665.jpg,/home/ali/Pytorchwork/20190925/images_left_ilenv/20190923_imageleft1255_1569262833.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilenv/20190923_disparity1255_1569262833.yaml,/home/ali/Pytorchwork/20190925/pro_ilenv/20190923_pro1255_1569262833.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright2256_1569259169.jpg,/home/ali/Pytorchwork/20190925/images_left_ilenv/20190923_imageleft2257_1569263594.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilenv/20190923_disparity2257_1569263594.yaml,/home/ali/Pytorchwork/20190925/pro_ilenv/20190923_pro2257_1569263594.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright2926_1569259520.jpg,/home/ali/Pytorchwork/20190925/images_left_ilenv/20190923_imageleft2925_1569264012.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilenv/20190923_disparity2925_1569264012.yaml,/home/ali/Pytorchwork/20190925/pro_ilenv/20190923_pro2925_1569264012.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright1550_1569258820.jpg,/home/ali/Pytorchwork/20190925/images_left_ilenv/20190923_imageleft1550_1569263111.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilenv/20190923_disparity1550_1569263111.yaml,/home/ali/Pytorchwork/20190925/pro_ilenv/20190923_pro1550_1569263111.yaml
