right,left,disparity,proprioception
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright742_1569258390.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft742_1569258390.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity742_1569258390.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro742_1569258390.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright4048_1569260298.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft4048_1569260298.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity4048_1569260298.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro4048_1569260298.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright219_1569258156.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft219_1569258156.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity219_1569258156.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro219_1569258156.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright1889_1569258983.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft1889_1569258983.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity1889_1569258983.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro1889_1569258983.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright1848_1569258949.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft1848_1569258949.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity1848_1569258949.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro1848_1569258949.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright824_1569258443.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft824_1569258443.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity824_1569258443.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro824_1569258443.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright1257_1569258665.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft1257_1569258665.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity1257_1569258665.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro1257_1569258665.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright1868_1569258957.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft1868_1569258957.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity1868_1569258957.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro1868_1569258957.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright1727_1569258898.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft1727_1569258898.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity1727_1569258898.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro1727_1569258898.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright3961_1569260220.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft3961_1569260220.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity3961_1569260220.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro3961_1569260220.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright597_1569258320.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft597_1569258320.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity597_1569258320.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro597_1569258320.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright1040_1569258557.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft1040_1569258557.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity1040_1569258557.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro1040_1569258557.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright2298_1569259192.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft2298_1569259192.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity2298_1569259192.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro2298_1569259192.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright1833_1569258946.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft1833_1569258946.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity1833_1569258946.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro1833_1569258946.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright111_1569258107.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft111_1569258107.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity111_1569258107.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro111_1569258107.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright717_1569258380.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft717_1569258380.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity717_1569258380.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro717_1569258380.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright3182_1569259664.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft3182_1569259664.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity3182_1569259664.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro3182_1569259664.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright3118_1569259632.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft3118_1569259632.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity3118_1569259632.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro3118_1569259632.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright3171_1569259662.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft3171_1569259662.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity3171_1569259662.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro3171_1569259662.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright609_1569258323.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft609_1569258323.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity609_1569258323.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro609_1569258323.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright3131_1569259635.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft3131_1569259635.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity3131_1569259635.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro3131_1569259635.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright2179_1569259127.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft2179_1569259127.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity2179_1569259127.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro2179_1569259127.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright931_1569258515.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft931_1569258515.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity931_1569258515.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro931_1569258515.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright3671_1569260008.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft3671_1569260008.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity3671_1569260008.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro3671_1569260008.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright2283_1569259189.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft2283_1569259189.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity2283_1569259189.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro2283_1569259189.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright1553_1569258821.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft1553_1569258821.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity1553_1569258821.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro1553_1569258821.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright3054_1569259605.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft3054_1569259605.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity3054_1569259605.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro3054_1569259605.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright1524_1569258769.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft1524_1569258769.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity1524_1569258769.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro1524_1569258769.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright2527_1569259307.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft2527_1569259307.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity2527_1569259307.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro2527_1569259307.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright583_1569258317.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft583_1569258317.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity583_1569258317.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro583_1569258317.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright502_1569258276.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft502_1569258276.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity502_1569258276.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro502_1569258276.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright160_1569258127.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft160_1569258127.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity160_1569258127.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro160_1569258127.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright1586_1569258840.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft1586_1569258840.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity1586_1569258840.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro1586_1569258840.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright2658_1569259353.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft2658_1569259353.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity2658_1569259353.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro2658_1569259353.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright2184_1569259128.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft2184_1569259128.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity2184_1569259128.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro2184_1569259128.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright503_1569258276.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft503_1569258276.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity503_1569258276.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro503_1569258276.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright273_1569258224.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft273_1569258224.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity273_1569258224.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro273_1569258224.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright1769_1569258914.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft1769_1569258914.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity1769_1569258914.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro1769_1569258914.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright324_1569258235.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft324_1569258235.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity324_1569258235.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro324_1569258235.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright3181_1569259664.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft3181_1569259664.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity3181_1569259664.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro3181_1569259664.yaml
/home/ali/Pytorchwork/20190925/images_right_ilme/20190923_imageright882_1569258490.jpg,/home/ali/Pytorchwork/20190925/images_left_ilme/20190923_imageleft882_1569258490.jpg,/home/ali/Pytorchwork/20190925/images_disparity_ilme/20190923_disparity882_1569258490.yaml,/home/ali/Pytorchwork/20190925/pro_ilme/20190923_pro882_1569258490.yaml
